ts,gx,gy,gz
2025-09-07T01:25:52.833+00:00,0.0,-0.305176,-0.183105
2025-09-07T01:25:53.116+00:00,-0.305176,-0.366211,-0.183105
2025-09-07T01:25:53.365+00:00,-0.12207,-0.366211,-0.183105
2025-09-07T01:25:53.618+00:00,-0.488281,-0.305176,-0.183105
2025-09-07T01:25:53.901+00:00,-0.061035,-0.366211,-0.183105
2025-09-07T01:29:57.350+00:00,-0.12207,-0.366211,-0.183105
2025-09-07T01:29:57.620+00:00,-0.366211,-0.366211,-0.183105
2025-09-07T01:29:57.864+00:00,-0.244141,-0.366211,-0.183105
2025-09-07T01:29:58.108+00:00,-0.549316,-0.366211,-0.183105
2025-09-07T01:29:58.352+00:00,-0.610352,-0.305176,-0.183105
2025-09-07T01:29:58.629+00:00,-0.732422,-0.366211,-0.183105
2025-09-07T01:29:58.879+00:00,-0.671387,-0.366211,-0.183105
2025-09-07T01:29:59.168+00:00,-0.366211,-0.366211,-0.183105
2025-09-07T01:29:59.421+00:00,-0.244141,-0.366211,-0.183105
2025-09-07T01:29:59.659+00:00,-0.061035,-0.366211,-0.183105
2025-09-07T01:29:59.902+00:00,-0.12207,-0.366211,-0.183105
2025-09-07T01:30:00.163+00:00,-0.305176,-0.305176,-0.183105
2025-09-07T01:30:00.419+00:00,-0.610352,-0.366211,-0.183105
2025-09-07T01:30:00.677+00:00,-0.854492,-0.366211,-0.183105
2025-09-07T01:30:00.926+00:00,-0.915527,-0.366211,-0.183105
2025-09-07T01:30:01.176+00:00,-0.732422,-0.366211,-0.183105
2025-09-07T01:30:01.424+00:00,-0.427246,-0.366211,-0.183105
2025-09-07T01:30:01.665+00:00,-0.061035,-0.366211,-0.183105
2025-09-07T01:30:01.972+00:00,0.0,-0.366211,-0.183105
2025-09-07T01:30:02.228+00:00,-0.12207,-0.366211,-0.183105
2025-09-07T01:30:02.730+00:00,-0.488281,-0.366211,-0.183105
2025-09-07T01:30:04.994+00:00,-0.671387,-0.366211,-0.183105
2025-09-07T01:30:05.270+00:00,-0.854492,-0.305176,-0.183105
2025-09-07T01:30:05.549+00:00,-0.732422,-0.366211,-0.183105
2025-09-07T01:30:05.882+00:00,-0.732422,-0.366211,-0.183105
2025-09-07T01:30:06.146+00:00,-0.427246,-0.366211,-0.183105
2025-09-07T01:30:06.396+00:00,-0.305176,-0.305176,-0.244141
2025-09-07T01:30:06.654+00:00,-0.12207,-0.366211,-0.183105
2025-09-07T01:30:07.086+00:00,-0.305176,-0.366211,-0.183105
2025-09-07T01:30:07.333+00:00,-0.488281,-0.305176,-0.183105
2025-09-07T01:30:07.628+00:00,-0.671387,-0.366211,-0.183105
2025-09-07T01:30:07.906+00:00,-0.671387,-0.305176,-0.183105
2025-09-07T01:30:08.182+00:00,-0.549316,-0.366211,-0.183105
2025-09-07T01:30:08.444+00:00,-0.366211,-0.366211,-0.183105
2025-09-07T01:30:08.686+00:00,-0.183105,-0.366211,-0.183105
2025-09-07T01:30:09.238+00:00,-0.305176,-0.366211,-0.183105
2025-09-07T01:30:09.513+00:00,-0.427246,-0.366211,-0.183105
2025-09-07T01:30:09.814+00:00,-0.793457,-0.366211,-0.183105
2025-09-07T01:30:10.099+00:00,-0.793457,-0.366211,-0.183105
2025-09-07T01:30:10.598+00:00,-0.793457,-0.366211,-0.183105
2025-09-07T01:30:10.921+00:00,-0.244141,-0.366211,-0.183105
2025-09-07T01:30:11.231+00:00,-0.061035,-0.366211,-0.183105
2025-09-07T01:30:11.476+00:00,0.12207,-0.366211,-0.183105
2025-09-07T01:30:11.740+00:00,-0.183105,-0.366211,-0.183105
2025-09-07T01:30:12.288+00:00,-0.610352,-0.366211,-0.183105
2025-09-07T01:30:12.616+00:00,-0.915527,-0.305176,-0.183105
2025-09-07T01:30:13.303+00:00,-0.915527,-0.305176,-0.183105
2025-09-07T01:30:13.567+00:00,-0.732422,-0.366211,-0.183105
2025-09-07T01:30:13.845+00:00,-0.244141,-0.366211,-0.183105
2025-09-07T01:30:14.236+00:00,-0.061035,-0.366211,-0.183105
2025-09-07T01:30:14.574+00:00,0.0,-0.366211,-0.183105
2025-09-07T01:30:14.823+00:00,-0.549316,-0.366211,-0.183105
2025-09-07T01:30:15.208+00:00,-0.793457,-0.305176,-0.183105
2025-09-07T01:30:15.485+00:00,-0.793457,-0.366211,-0.183105
2025-09-07T01:30:16.186+00:00,-0.610352,-0.366211,-0.183105
2025-09-07T01:30:16.644+00:00,-0.244141,-0.366211,-0.183105
2025-09-07T01:30:17.192+00:00,-0.12207,-0.305176,-0.183105
2025-09-07T01:30:17.471+00:00,-0.061035,-0.305176,-0.183105
2025-09-07T01:30:17.998+00:00,-0.427246,-0.366211,-0.183105
2025-09-07T01:30:19.006+00:00,-0.793457,-0.366211,-0.183105
2025-09-07T01:30:20.057+00:00,-0.976562,-0.366211,-0.244141
2025-09-07T01:30:20.331+00:00,-0.854492,-0.366211,-0.183105
2025-09-07T01:30:20.862+00:00,-0.549316,-0.366211,-0.183105
2025-09-07T01:30:21.113+00:00,-0.12207,-0.366211,-0.183105
